gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,gate_mode,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,128,7168,1536,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,16,0,7228.1212,mxfp4_moe_g1_a4w4_NE384_H7168_E1536_BM16_INLINEQUANT,0.0%,9762.3422,mxfp4_moe_g2_a4w4_NE384_H7168_E1536_TOPK6_BM16_ATOMIC_NT,0.0%,16990.4634,0,0,0,2.99,746.67,
gfx950,256,256,7168,1536,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,32,0,7351.7327,mxfp4_moe_g1_a4w4_NE384_H7168_E1536_BM32_NT,0.0%,9845.8466,mxfp4_moe_g2_a4w4_NE384_H7168_E1536_TOPK6_BM32_ATOMIC_NT,0.0%,17197.5793,0,0,0,5.9,737.84,
gfx950,256,512,7168,1536,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,32,0,7371.697,mxfp4_moe_g1_a4w4_NE384_H7168_E1536_BM32_NT,0.0%,9956.5821,mxfp4_moe_g2_a4w4_NE384_H7168_E1536_TOPK6_BM32_ATOMIC_NT,0.0%,17328.2791,0,0,0,11.71,732.59,
gfx950,256,1024,7168,1536,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,32,0,7417.0341,mxfp4_moe_g1_a4w4_NE384_H7168_E1536_BM32_CACHED,0.0%,9963.2472,mxfp4_moe_g2_a4w4_NE384_H7168_E1536_TOPK6_BM32_ATOMIC,0.0%,17380.2813,0,0,0,23.35,731.04,
gfx950,256,2048,7168,1536,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,32,0,7638.5435,mxfp4_moe_g1_a4w4_NE384_H7168_E1536_BM32_CACHED,0.0%,10372.4259,mxfp4_moe_g2_a4w4_NE384_H7168_E1536_TOPK6_BM32_ATOMIC,0.0%,18010.9694,0,0,0,45.07,706.66,
gfx950,256,4096,7168,1536,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,128,0,7506.0432,mxfp4_moe_g1_a4w4_NE384_H7168_E1536_BM128,0.0%,10437.8137,mxfp4_moe_g2_a4w4_NE384_H7168_E1536_TOPK6_BM128_NONATOMIC,0.0%,17943.8568,0,0,0,90.48,711.76,
gfx950,256,8192,7168,1536,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,128,0,7848.3935,mxfp4_moe_g1_a4w4_NE384_H7168_E1536_BM128,0.0%,10931.3693,mxfp4_moe_g2_a4w4_NE384_H7168_E1536_TOPK6_BM128_NONATOMIC,0.0%,18779.7628,0,0,0,172.9,684.77,
gfx950,256,16384,7168,1536,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,128,0,8653.6961,mxfp4_moe_g1_a4w4_NE384_H7168_E1536_BM128,0.0%,12274.4201,mxfp4_moe_g2_a4w4_NE384_H7168_E1536_TOPK6_BM128_NONATOMIC,0.0%,20928.1162,0,0,0,310.3,622.89,
gfx950,256,32768,7168,1536,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,128,0,9841.7199,mxfp4_moe_g1_a4w4_NE384_H7168_E1536_BM128,0.0%,14696.6597,mxfp4_moe_g2_a4w4_NE384_H7168_E1536_TOPK6_BM128_NONATOMIC,0.0%,24538.3796,0,0,0,529.29,545.6,
gfx950,256,1,7168,768,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,16,0,3320.6568,mxfp4_moe_g1_a4w4_NE384_H7168_E768_BM16_INLINEQUANT,0.0%,4382.861,mxfp4_moe_g2_a4w4_NE384_H7168_E768_TOPK6_BM16_ATOMIC_NT,0.0%,7703.5178,0,0,0,0.03,823.24,
gfx950,256,2,7168,768,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,16,0,3328.8758,mxfp4_moe_g1_a4w4_NE384_H7168_E768_BM16_INLINEQUANT,0.0%,4393.8274,mxfp4_moe_g2_a4w4_NE384_H7168_E768_TOPK6_BM16_ATOMIC_NT,0.0%,7722.7032,0,0,0,0.05,821.19,
gfx950,256,4,7168,768,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,16,0,3332.7348,mxfp4_moe_g1_a4w4_NE384_H7168_E768_BM16_INLINEQUANT,0.0%,4386.3094,mxfp4_moe_g2_a4w4_NE384_H7168_E768_TOPK6_BM16_ATOMIC_NT,0.0%,7719.0442,0,0,0,0.1,821.59,
gfx950,256,8,7168,768,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,16,0,3356.0949,mxfp4_moe_g1_a4w4_NE384_H7168_E768_BM16_INLINEQUANT,0.0%,4440.8973,mxfp4_moe_g2_a4w4_NE384_H7168_E768_TOPK6_BM16_ATOMIC_NT,0.0%,7796.9922,0,0,0,0.2,813.39,
gfx950,256,16,7168,768,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,16,0,3391.3964,mxfp4_moe_g1_a4w4_NE384_H7168_E768_BM16_INLINEQUANT,0.0%,4492.462,mxfp4_moe_g2_a4w4_NE384_H7168_E768_TOPK6_BM16_ATOMIC_NT,0.0%,7883.8584,0,0,0,0.4,804.45,
