cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,tflops,bw,_tag,gfx,xbf16,flat
256,2048,7168,512,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,548.0376,flydsl_mxmoe_g1_a4w4_64x256x256,0.0,0.0,flydsl_mxmoe_g2_a4w4_64x256x256_atomic_nt,0.0,548.0376,0,0.0,0.0,,gfx950,0,0
256,4096,7168,512,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,691.1115,flydsl_mxmoe_g1_a4w4_128x256x256,0.0,0.0,flydsl_mxmoe_g2_a4w4_128x256x256,0.0,691.1115,0,0.0,0.0,,gfx950,0,0
256,8192,7168,512,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,1254.6007,flydsl_mxmoe_g1_a4w4_64x256x256,0.0,0.0,flydsl_mxmoe_g2_a4w4_64x256x256_cshuffle,0.0,1254.6007,0,0.0,0.0,,gfx950,0,0
256,16384,7168,512,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,1803.3708,flydsl_mxmoe_g1_a4w4_128x256x256,0.0,0.0,flydsl_mxmoe_g2_a4w4_128x256x256_f4out,0.0,1803.3708,0,0.0,0.0,,gfx950,0,0
256,32768,7168,512,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,3389.2208,flydsl_mxmoe_g1_a4w4_128x256x256,0.0,0.0,flydsl_mxmoe_g2_a4w4_128x256x256_f4out,0.0,3389.2208,0,0.0,0.0,,gfx950,0,0
256,1,7168,512,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,29.1908,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic,0.0,29.1908,0,0.0,0.0,,gfx950,0,0
256,2,7168,512,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,33.0858,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic,0.0,33.0858,0,0.0,0.0,,gfx950,0,0
256,4,7168,512,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,42.2188,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic,0.0,42.2188,0,0.0,0.0,,gfx950,0,0
256,8,7168,512,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,81.1604,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic,0.0,81.1604,0,0.0,0.0,,gfx950,0,0
256,16,7168,512,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,114.3771,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic,0.0,114.3771,0,0.0,0.0,,gfx950,0,0
256,32,7168,512,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,198.2434,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic_nt,0.0,198.2434,0,0.0,0.0,,gfx950,0,0
256,64,7168,512,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,283.7867,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic_nt,0.0,283.7867,0,0.0,0.0,,gfx950,0,0
256,128,7168,512,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,337.3199,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic_nt,0.0,337.3199,0,0.0,0.0,,gfx950,0,0
256,256,7168,512,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,363.0676,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic_nt,0.0,363.0676,0,0.0,0.0,,gfx950,0,0
256,512,7168,512,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,408.3381,flydsl_mxmoe_g1_a4w4_32x256x256_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_32x256x256_atomic_nt,0.0,408.3381,0,0.0,0.0,,gfx950,0,0
256,1024,7168,512,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,428.4782,flydsl_mxmoe_g1_a4w4_32x256x256_nt,0.0,0.0,flydsl_mxmoe_g2_a4w4_32x256x256_atomic_nt,0.0,428.4782,0,0.0,0.0,,gfx950,0,0
256,2048,7168,512,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,567.0911,flydsl_mxmoe_g1_a4w4_64x256x256,0.0,0.0,flydsl_mxmoe_g2_a4w4_64x256x256_atomic_nt,0.0,567.0911,0,0.0,0.0,,gfx950,0,0
256,4096,7168,512,385,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,732.0379,flydsl_mxmoe_g1_a4w4_128x256x256,0.0,0.0,flydsl_mxmoe_g2_a4w4_128x256x256,0.0,732.0379,0,0.0,0.0,,gfx950,0,0
